road,id,model_type,name,lat,lon,length
N1,1000495,link,link 248,22.3009167,91.9648889,1567
N1,1000496,bridge,bridge 248,22.2956941,91.9787493,166
N1,1000497,link,link 249,22.295333,91.9803049,471
N1,1000498,bridge,bridge 249,22.292083,91.9822493,21
N1,1000499,link,link 250,22.291833,91.9823327,1075
N1,1000500,bridge,bridge 250,22.286583,91.9911108,97
N1,1000501,link,link 251,22.2862497,91.9916941,869
N1,1000502,bridge,bridge 251,22.2820549,91.9986663,925
N1,1000503,link,link 252,22.2761938,92.0043889,213
N1,1000504,bridge,bridge 252,22.2745827,92.0053056,270
N1,1000505,link,link 253,22.273415999999997,92.0054167,10
N1,1000506,bridge,bridge 253,22.2722493,92.0055278,515
N1,1000507,link,link 254,22.2676104,92.0058056,626
N1,1000508,bridge,bridge 254,22.2622222,92.0070556,247
N1,1000509,link,link 255,22.26115275,92.0073056,10
N1,1000510,bridge,bridge 255,22.2600833,92.0075556,125
N1,1000511,link,link 256,22.259,92.0081389,403
N1,1000512,bridge,bridge 256,22.2557222,92.0096111,267
N1,1000513,link,link 257,22.25479165,92.01043055,10
N1,1000514,bridge,bridge 257,22.2538611,92.01125,329
N1,1000515,link,link 258,22.2517222,92.0133333,343
N1,1000516,bridge,bridge 258,22.249333,92.0152778,656
N1,1000517,link,link 259,22.2449997,92.019166,602
N1,1000518,bridge,bridge 259,22.2410552,92.0215271,478
N1,1000519,link,link 260,22.23912465,92.022291,10
N1,1000520,bridge,bridge 260,22.2371941,92.0230549,139
N1,1000521,link,link 261,22.236083,92.0234716,384
N1,1000522,bridge,bridge 261,22.2327771,92.0245549,178
N1,1000523,link,link 262,22.232235449999997,92.02472155000001,10
N1,1000524,bridge,bridge 262,22.2316938,92.0248882,230
N1,1000525,link,link 263,22.227916,92.0258882,12
N1,1000526,bridge,bridge 263,22.2278882,92.025916,449
N1,1000527,link,link 264,22.225957649999998,92.02649935,10
N1,1000528,bridge,bridge 264,22.2240271,92.0270827,538
N1,1000529,link,link 265,22.2192493,92.0278882,247
N1,1000530,bridge,bridge 265,22.2170549,92.0281382,515
N1,1000531,link,link 266,22.2131389,92.0304993,778
N1,1000532,bridge,bridge 266,22.2084444,92.0356663,340
N1,1000533,link,link 267,22.2071944,92.03634685,10
N1,1000534,bridge,bridge 267,22.2059444,92.0370274,117
N1,1000535,link,link 268,22.2054167,92.0380274,3941
N1,1000536,bridge,bridge 268,22.1750827,92.0528611,178
N1,1000537,link,link 269,22.1735827,92.0534167,2514
N1,1000538,bridge,bridge 269,22.1596667,92.0674716,485
N1,1000539,link,link 270,22.156,92.0701104,663
N1,1000540,bridge,bridge 270,22.1509722,92.0696938,215
N1,1000541,link,link 271,22.1491386,92.0696104,1253
N1,1000542,bridge,bridge 271,22.1379163,92.0698882,501
N1,1000543,link,link 272,22.1356802,92.06998544999999,10
N1,1000544,bridge,bridge 272,22.1334441,92.0700827,161
N1,1000545,link,link 273,22.1320549,92.0701938,118
N1,1000546,bridge,bridge 273,22.1308049,92.070416,285
N1,1000547,link,link 274,22.129666,92.07063819999999,10
N1,1000548,bridge,bridge 274,22.1285271,92.0708604,515
N1,1000549,link,link 275,22.1240271,92.0715827,10
N1,1000550,bridge,bridge 275,22.123666,92.0716382,388
N1,1000551,link,link 276,22.122235449999998,92.07179099999999,10
N1,1000552,bridge,bridge 276,22.1208049,92.0719438,600
N1,1000553,link,link 277,22.1151944,92.072416,282
N1,1000554,bridge,bridge 277,22.1133056,92.0726938,717
N1,1000555,link,link 278,22.1062222,92.0738049,670
N1,1000556,bridge,bridge 278,22.0993052,92.0743604,250
N1,1000557,link,link 279,22.0977497,92.0750271,641
N1,1000558,bridge,bridge 279,22.0942219,92.0798604,222
N1,1000559,link,link 280,22.092833,92.0812493,1501
N1,1000560,bridge,bridge 280,22.0844441,92.0924997,418
N1,1000561,link,link 281,22.0826104,92.0958886,300
N1,1000562,bridge,bridge 281,22.081166,92.0982774,699
N1,1000563,link,link 282,22.0752216,92.1001944,704
N1,1000564,bridge,bridge 282,22.0699438,92.1038333,210
N1,1000565,link,link 283,22.0686938,92.10525,565
N1,1000566,bridge,bridge 283,22.0641667,92.107,425
N1,1000567,link,link 284,22.06236115,92.1074028,10
N1,1000568,bridge,bridge 284,22.0605556,92.1078056,9
N1,1000569,link,link 285,22.0604722,92.1078611,423
N1,1000570,bridge,bridge 285,22.0568611,92.1090833,514
N1,1000571,link,link 286,22.05456945,92.10909720000001,10
N1,1000572,bridge,bridge 286,22.0522778,92.1091111,62
N1,1000573,link,link 287,22.0516944,92.1090278,329
N1,1000574,bridge,bridge 287,22.0486386,92.1082222,438
N1,1000575,link,link 288,22.0449719,92.1078333,95
N1,1000576,bridge,bridge 288,22.0443052,92.1073056,136
N1,1000577,link,link 289,22.0434441,92.1063056,694
N1,1000578,bridge,bridge 289,22.0379163,92.104,96
N1,1000579,link,link 290,22.037083,92.1039722,567
N1,1000580,bridge,bridge 290,22.0320827,92.1041667,377
N1,1000581,link,link 291,22.03049935,92.10386115,10
N1,1000582,bridge,bridge 291,22.028916,92.1035556,55
N1,1000583,link,link 292,22.0284438,92.1032778,19
N1,1000584,bridge,bridge 292,22.0283327,92.1031944,899
N1,1000585,link,link 293,22.020666,92.1015556,14
N1,1000586,bridge,bridge 293,22.0205549,92.1015,923
N1,1000587,link,link 294,22.0153056,92.094833,930
N1,1000588,bridge,bridge 294,22.0077222,92.0927497,48
N1,1000589,link,link 295,22.0074167,92.0924997,464
N1,1000590,bridge,bridge 295,22.0039167,92.0904163,540
N1,1000591,link,link 296,22.0019304,92.08922185,10
N1,1000592,bridge,bridge 296,21.9999441,92.0880274,16
N1,1000593,link,link 297,21.999833,92.0879997,546
N1,1000594,bridge,bridge 297,21.9951108,92.0873608,16
N1,1000595,link,link 298,21.995083,92.0873191,10
N1,1000596,bridge,bridge 298,21.9950552,92.0872774,434
N1,1000597,link,link 299,21.9932219,92.0866802,10
N1,1000598,bridge,bridge 299,21.9913886,92.086083,79
N1,1000599,link,link 300,21.9907219,92.0858608,159
N1,1000600,bridge,bridge 300,21.9893886,92.085333,406
N1,1000601,link,link 301,21.98780525,92.0844302,10
N1,1000602,bridge,bridge 301,21.9862219,92.0835274,413
N1,1000603,link,link 302,21.9829716,92.0817771,264
N1,1000604,bridge,bridge 302,21.9811104,92.0800271,278
N1,1000605,link,link 303,21.980499299999998,92.07892989999999,10
N1,1000606,bridge,bridge 303,21.9798882,92.0778327,342
N1,1000607,link,link 304,21.9794299,92.076291,10
N1,1000608,bridge,bridge 304,21.9789716,92.0747493,132
N1,1000609,link,link 305,21.9781104,92.0739993,1752
N1,1000610,bridge,bridge 305,21.967666,92.0635,264
N1,1000611,link,link 306,21.9654167,92.0625556,254
N1,1000612,bridge,bridge 306,21.9620278,92.0633611,393
N1,1000613,link,link 307,21.960555550000002,92.064375,10
N1,1000614,bridge,bridge 307,21.9590833,92.0653889,351
N1,1000615,link,link 308,21.9578333,92.0665833,84
N1,1000616,bridge,bridge 308,21.9569167,92.0673327,521
N1,1000617,link,link 309,21.9542639,92.06759654999999,10
N1,1000618,bridge,bridge 309,21.9516111,92.0678604,324
N1,1000619,link,link 310,21.9489441,92.0675271,461
N1,1000620,bridge,bridge 310,21.9446663,92.0668049,538
