,road,LRPName,type,name,condition,length,chainage,lat,lon,Proportion truck
1967,N208,LRP036c,PC Girder Bridge,KUSIARA BRIDGE,A,257.6,35.07,24.6937432846153,91.9334248307692,0.16760794315904537
1969,N208,LRP036e,Box Culvert,MOLIKPUR BOX CULVERT,B,19.0,36.154,24.7025746324324,91.9290493339527,0.16760794315904537
1970,N208,LRP038a,PC Girder Bridge,Elaspur Bridge,B,130.57,37.454,24.7140372792746,91.9284881404145,0.16760794315904537
1972,N208,LRP039a,Box Culvert,KALPARA BOX CULVERT,A,5.7,39.24,24.7299004437238,91.9274023165271,0.16760794315904537
1973,N208,LRP041a,RCC Girder Bridge,Kutalpur Bridge,B,89.45,40.246,24.7385651742105,91.9246244167368,0.16760794315904537
1975,N208,LRP041c,RCC Girder Bridge,Kutalpur Bridge,B,12.0,40.854,24.7440140336192,91.9226249174957,0.16760794315904537
1977,N208,LRP042a,RCC Girder Bridge,Kutalpur Bridge,B,36.4,41.766,24.7514980282296,91.9199961492823,0.16760794315904537
1979,N208,LRP044a,RCC Girder Bridge,Dharampur Bridge,A,29.7,43.436,24.7659215057,91.9151637269,0.16760794315904537
1981,N208,LRP045a,RCC Girder Bridge,HAJIGANJ,A,30.3,44.53,24.775450445297,91.912933685891,0.16760794315904537
1983,N208,LRP046a,Box Culvert,HAJIGONJ,A,1.5,45.428,24.783233574037,91.9104531212553,0.16760794315904537
1984,N208,LRP046b,RCC Girder Bridge,MAHAMODA BAD,A,29.5,46.1,24.7892091882352,91.9096244911764,0.16760794315904537
1986,N208,LRP048a,RCC Girder Bridge,MOGLA BAZER,A,20.8,47.38,24.8001608595,91.91226345,0.16760794315904537
1988,N208,LRP051a,Box Culvert,NAIKHAI BOX CULVERT,A,3.0,50.39,24.8243342277777,91.9014922777777,0.16760794315904537
1989,N208,LRP052a,RCC Girder Bridge,JALKER KANDI,A,32.2,51.311,24.831194277922,91.899333612987,0.16760794315904537
1991,N208,LRP055a,Box Culvert,SIB BARI BOX CULVERT,A,3.0,55.04,24.8586061783783,91.8850362789189,0.19824466159971046
1992,N208,LRP057b,Box Culvert,KADAM TALI BOX CULVERT,B,5.6,57.089,24.8780833333333,91.8753333333333,0.19824466159971046
1993,N209,LRPSa,Box Culvert,MENIKHOLA CULVERT,A,2.45,0.156,24.8787690823529,91.8753102964705,0.07995401337792642
1994,N209,LRP001a,Slab Culvert,CHANDNIGHAT CULVERT,A,3.0,1.074,24.8823611111111,91.8675277777777,0.07995401337792642
1995,N3,LRPSa,Box Culvert,BANANI,B,1.5,0.284,23.8153641296,90.406593362,0.09689435692337707
1998,N3,LRP013a,Box Culvert,GAZIPUR CULVERT 1,C,4.25,13.96,23.921446016,90.3923374319999,0.21223774246451393
1999,N3,LRP014a,Box Culvert,GAZIPURA CULVERT 2,C,3.05,14.712,23.9277499968,90.3897416872,0.21223774246451393
2000,N3,LRP016a,Box Culvert,BOARD BAZAR CULVERT,C,6.1,16.169,23.9398972482213,90.384696189328,0.21223774246451393
2001,N3,LRP016b,Box Culvert,BROBARI CULVERT,B,4.2,16.288,23.9408771403162,90.3843042418972,0.21223774246451393
2002,N3,LRP020b,Box Culvert,vogra culvert,B,3.0,20.689,23.9796202198813,90.3808635433234,0.20145579105116676
2003,N3,LRP022b,Box Culvert,JOYDEVPUR(CHOWURASTA),C,1.45,22.263,23.9936336980392,90.382266772549,0.295547795722392
2004,N3,LRP023a,Slab Culvert,nagorpara,A,1.0,23.965,24.008789048662,90.3836903796828,0.295547795722392
2005,N3,LRP024a,Slab Culvert,NAGOR PARA,A,8.0,24.216,24.0110278990089,90.3839115034687,0.295547795722392
2006,N3,LRP026a,Box Culvert,SHALNA CULVERT,B,8.33,26.134,24.0281044513513,90.3858525189189,0.295547795722392
2007,N3,LRP026c,PC Girder Bridge,Shalna Bridge,B,19.5,26.391,24.0302584208695,90.3866318062608,0.295547795722392
2009,N3,LRP033a,Box Culvert,NATIONAL PARK,B,3.0,33.307,24.0892525321981,90.4005759547987,0.295547795722392
2010,N3,LRP033b,Box Culvert,RAJANDOPUR-GOGARIPARA,C,1.5,33.617,24.0920216131868,90.4010970362637,0.295547795722392
2011,N3,LRP033c,Box Culvert,RAJENDRAPUR,C,1.0,33.899,24.0943975220338,90.4015485372881,0.295547795722392
2012,N3,LRP034b,Box Culvert,BAZANDERPUR FROM,B,3.0,34.397,24.0988468019801,90.4024056237623,0.295547795722392
2013,N3,LRP035a,Slab Culvert,KAIYA MAR A BOX CULVERT,B,3.0,34.786,24.1023070837209,90.4030876069767,0.295547795722392
2014,N3,LRP035b,Box Culvert,HO TA PA RA,A,1.0,35.453,24.1080487642987,90.4040175282331,0.295547795722392
2015,N3,LRP036a,Box Culvert,HOTAPARA BOX CULVERT,A,1.0,35.994,24.11277497,90.404944455,0.295547795722392
2016,N3,LRP036b,Slab Culvert,HO TA PA RA,A,1.04,36.385,24.1161814686363,90.4059318188636,0.295547795722392
2017,N3,LRP038a,Box Culvert,BEGUMPUR BOX CULVERT,A,3.0,37.824,24.1279092309232,90.4117339541713,0.295547795722392
2018,N3,LRP038b,Box Culvert,NOLIAR PARA BOX CULVERT,C,3.0,38.598,24.134243031194,90.4146968277611,0.295547795722392
2019,N3,LRP039a,Box Culvert,BOBRIPUR BOX CULVERT,B,6.1,39.162,24.1389033695732,90.4168206892393,0.295547795722392
2020,N3,LRP040a,Box Culvert,KOSAI BARI BOX CULVERT,B,6.0,39.986,24.1456196752551,90.4200119244898,0.295547795722392
2021,N3,LRP041a,Box Culvert,BANIARCHALA BOX CULVERT,B,9.4,40.546,24.1502620884058,90.4221861202898,0.295547795722392
2022,N3,LRP046a,Box Culvert,N B BAZAR,A,1.5,46.122,24.1985969413551,90.4232738221962,0.36869718893245707
2023,N3,LRP047a,Box Culvert,BARAIDAR CHALA,A,1.0,46.96,24.2048280841237,90.4202613870103,0.36869718893245707
2024,N3,LRP048a,Box Culvert,BARAYEDE RCHALA BOX CULVERT,B,3.0,47.972,24.2133381117241,90.4160114896551,0.36869718893245707
2025,N3,LRP048b,Box Culvert,MOWNA CHORASTA,B,1.3,48.547,24.2181101839869,90.4136677130718,0.36869718893245707
2026,N3,LRP049c,Box Culvert,MOWNA BAZAR,A,1.5,49.213,24.2233837074235,90.4109012563318,0.36869718893245707
2027,N3,LRP050a,Box Culvert,MULAID BOX CULVERT(1),C,3.0,49.678,24.2271064991606,90.4091884298561,0.36869718893245707
2028,N3,LRP050b,Box Culvert,BOLITE,A,1.0,49.975,24.2295301829736,90.4080013913669,0.36869718893245707
2029,N3,LRP050c,Box Culvert,gorboria master bari,B,5.0,50.141,24.2308848345323,90.4073379287769,0.36869718893245707
2030,N3,LRP050d,Box Culvert,MOLAYID BOX CULVERT,B,1.5,50.408,24.2330637017985,90.4062707931654,0.36869718893245707
2031,N3,LRP051a,Box Culvert,MOLAYID BOX CULVERT (3),C,1.5,50.656,24.2351158146341,90.4052689658536,0.36869718893245707
2032,N3,LRP051b,Box Culvert,JOBTAPUKURPAR BOXCULVERT,D,3.0,50.964,24.2377096168831,90.4040356211039,0.36869718893245707
2033,N3,LRP052a,Slab Culvert,NAYANPUR SLUB CULVERT,C,1.5,52.022,24.246800654646,90.4016418831858,0.36869718893245707
2034,N3,LRP053a,Box Culvert,R.A.K CERAMICKS BOX CULVERT,B,3.0,53.146,24.25656617,90.399117009661,0.36869718893245707
2035,N3,LRP054a,Box Culvert,DANOA,B,2.9,54.053,24.2637146146766,90.398083,0.36869718893245707
2036,N3,LRP056a,Box Culvert,JOYNABAZAR BOX CALVERT,C,4.5,55.775,24.2794342103448,90.3932207255172,0.36869718893245707
2037,N3,LRP060a,Box Culvert,AMTOLI JAMIRDA CULVERT,B,6.0,59.203,24.3091107950617,90.3848292216049,0.36869718893245707
2038,N3,LRP062a,Box Culvert,HABIRBARI CULVERT,A,3.0,60.935,24.3239115385302,90.3798040654419,0.36869718893245707
2039,N3,LRP065a,Box Culvert,MEHERA BARI BOX CULVERT,A,3.0,64.409,24.3543322718232,90.3748917900552,0.36869718893245707
2040,N3,LRP066a,Box Culvert,AKHALIA BOX CULVERT,A,4.5,65.042,24.3599192758389,90.3753842818791,0.36869718893245707
2041,N3,LRP066b,Box Culvert,AKHALIA HAGIR BARI BOX CULVERT,A,3.0,65.232,24.3615969188118,90.3755418534653,0.36869718893245707
2042,N3,LRP066c,Box Culvert,HOZIR BAZAR BOX CULVERT,A,3.0,65.469,24.3636174698795,90.3757503180722,0.36869718893245707
2043,N3,LRP066d,Box Culvert,HAJIR BAZAR CULVERT,A,3.0,65.969,24.3681715345263,90.3761333911579,0.36869718893245707
2044,N3,LRP066e,Box Culvert,KATHALI BOX CULVERT,A,12.2,65.983,24.3683049648421,90.3761440370526,0.36869718893245707
2045,N3,LRP070a,RCC Girder Bridge,BRIDGE OVER KHURE RIVER,A,163.04,69.42,24.3979575536656,90.3833994492668,0.36869718893245707
2047,N3,LRP072d,Box Culvert,BHALUKA BAZAR BOX CULVERT,B,4.6,70.162,24.4037218328657,90.3860087969939,0.36869718893245707
2048,N3,LRP073a,Box Culvert,PROSHIKA MORE BOX CULVERT,C,4.5,71.49,24.4151828375314,90.388027383879,0.36869718893245707
2049,N3,LRP074a,Box Culvert,BANDABO BOX CULVERT,B,6.1,72.097,24.4204098069408,90.3888120940874,0.36869718893245707
2050,N3,LRP074b,Box Culvert,BANDABO BOX CULVERT,B,4.7,72.659,24.4251739099644,90.3873534754448,0.36869718893245707
2051,N3,LRP075a,Box Culvert,BORA DURA BAGSHARTRE,D,26.0,73.086,24.4287660151351,90.3859586675675,0.36869718893245707
2052,N3,LRP076a,Box Culvert,BORADOVE BOX CULVERT,C,3.0,74.297,24.4393765630323,90.3838670032368,0.36869718893245707
2053,N3,LRP076b,Box Culvert,BORDUBA SUBMARGE,A,1.5,74.47,24.4409074509369,90.3836950936967,0.36869718893245707
2054,N3,LRP077b,Box Culvert,BORADUDA BOX CULVERT,B,1.6,75.07,24.4461202356589,90.383152688372,0.21460594620103823
2055,N3,LRP077c,Box Culvert,BORADUA BOX CULVERT,A,4.6,75.411,24.4491628779816,90.3827939678899,0.21460594620103823
2056,N3,LRP080b,Box Culvert,BAGAER PARA CULVERT,B,3.15,78.055,24.4723713316489,90.3842928978723,0.21460594620103823
2057,N3,LRP080c,Box Culvert,BAGHARPARA CULVERT,C,3.15,78.484,24.4757390555555,90.3861251814814,0.21460594620103823
2058,N3,LRP082a,Box Culvert,BANARI PARA BOX CULVERT,C,3.15,80.325,24.4887195945205,90.3955107424657,0.21460594620103823
2059,N3,LRP082b,RCC Girder Bridge,BANARI BRIDGE,B,43.75,80.485,24.4900793022831,90.3956054517503,0.21460594620103823
2061,N3,LRP083a,Box Culvert,NARANPUR CULVERT,B,3.0,80.983,24.494375026141,90.3949668290456,0.21460594620103823
2062,N3,LRP083b,Box Culvert,RAIMONY BOX CULVERT,C,10.0,81.404,24.4979629529787,90.3948269076595,0.21460594620103823
2063,N3,LRP083c,Box Culvert,RAIMONY BOX CULVERT,B,3.0,81.52,24.4989022814893,90.3948063238297,0.21460594620103823
2064,N3,LRP085a,Truss with RCC Slab,Khiro bridge,A,125.95,83.609,24.5172010547445,90.3973098346715,0.21460594620103823
2066,N3,LRP086a,Slab Culvert,AWULTIL SLAB CULVERT,C,6.1,84.621,24.525373025,90.4012759483333,0.21460594620103823
2067,N3,LRP086b,Slab Culvert,BAGAIN SLAB CULVERT,B,3.0,84.953,24.527788325,90.4018907016666,0.21460594620103823
2068,N3,LRP087a,Slab Culvert,BAGAN SLAB CULVERT,B,6.0,85.496,24.5331773082758,90.4014808462069,0.21460594620103823
2069,N3,LRP088a,Slab Culvert,RAGADURA SLAB CULVERT,C,4.6,86.447,24.5416615038,90.4000832623,0.21460594620103823
2070,N3,LRP089a,Box Culvert,Bazar box culvert,B,3.0,87.536,24.5514416876494,90.3992980330677,0.21460594620103823
2071,N3,LRP090a,Box Culvert,PACHPARA BOX CULVERT,C,3.15,88.604,24.5618360226361,90.3987723020057,0.21460594620103823
2072,N3,LRP091a,Box Culvert,NODAS BOX CULVERT,C,3.1,89.59,24.5692971636,90.3966552208,0.21460594620103823
2073,N3,LRP091b,RCC Girder Bridge,Trishal bridge,A,57.1,89.969,24.5725394707,90.3956024346,0.21460594620103823
2075,N3,LRP092a,Baily with Steel Deck,TRISAL BAZAR,C,13.8,90.169,24.5744314611111,90.3956246555555,0.21460594620103823
2076,N3,LRP092c,Slab Culvert,TRISAL BAZAR SUB MARCGH,A,1.0,90.733,24.5766883361639,90.3955743972181,0.21460594620103823
2077,N3,LRP094a,Arch Masonry,BOYLOR BASHKURI ARCH MASONRY,C,1.0,92.096,24.5914595,90.3956353793103,0.21460594620103823
2078,N3,LRP094b,Slab Culvert,HAGIR BAGAN BOX CULVERT,A,3.0,92.697,24.59683845,90.3960850931034,0.21460594620103823
2079,N3,LRP095a,Box Culvert,AGRAR CHOR CULVERT,B,5.6,93.114,24.6005982616621,90.3962497,0.21460594620103823
2080,N3,LRP095b,Arch Masonry,BOYLOR CHAR PARA,B,1.0,93.7,24.6058603859649,90.3962497,0.21460594620103823
2081,N3,LRP095c,Arch Masonry,MOTBARI ARCH CULVERT,B,1.55,93.905,24.6076949561403,90.3962497,0.21460594620103823
2082,N3,LRP096a,Slab Culvert,MOTBARI CULVERT,B,2.15,94.181,24.6101490070063,90.3963044929936,0.21460594620103823
2083,N3,LRP096b,Box Culvert,MOTBARI BOX CULVERT,C,5.5,94.501,24.6128465614886,90.3963568414239,0.21460594620103823
2084,N3,LRP096c,Arch Masonry,BOYLOR MOT BARI ARCH MASONRY,B,1.0,94.748,24.6151780336569,90.396312397411,0.21460594620103823
2085,N3,LRP098a,Arch Masonry,BOYLOR ARCH MASONRY,B,1.7,96.812,24.6330425491442,90.3991056388753,0.21460594620103823
2086,N3,LRP099a,Arch Masonry,UJAN BOYLOR ARCH MASONRY,C,1.55,97.192,24.6362941906633,90.3988314832923,0.21460594620103823
2087,N3,LRP099b,Box Culvert,BOELOR BOX CULVERT,B,2.4,97.522,24.6391545690417,90.3980882130221,0.21460594620103823
2088,N3,LRP100a,Box Culvert,BOYLOR BOX CULVERT,C,8.8,98.109,24.6441807875273,90.3983527978118,0.21460594620103823
2089,N3,LRP100b,Arch Masonry,KANNO ARCH MARCH,C,1.0,98.566,24.6476271835853,90.4005927820734,0.21460594620103823
2090,N3,LRP102a,Box Culvert,CHAINKHA BOX CULVERT,C,1.0,100.474,24.663961820461,90.4016112801152,0.21460594620103823
2091,N3,LRP103a,Box Culvert,CHURKY BOX CULVERT,C,14.3,101.429,24.6718864510353,90.4045372237515,0.21460594620103823
2092,N3,LRP105a,RCC Girder Bridge,BALTOLI BRIDGE,C,13.7,103.585,24.6900065757417,90.4102404307155,0.21460594620103823
2094,N3,LRP106a,Box Culvert,BALTOLI CULVERT,B,2.6,104.15,24.6947682791773,90.4119509537275,0.21460594620103823
2095,N3,LRP106b,Slab Culvert,SHIKARIKANDA CULVERT,A,1.4,104.885,24.7013499278745,90.4122390557491,0.21460594620103823
2096,N3,LRP107a,Box Culvert,SHIKARI KANDA CULVERT,B,8.6,105.475,24.7065568296066,90.4119447908902,0.21460594620103823
2097,N3,LRP108b,Box Culvert,THIGHAR KANDHA BOX CULVERT,C,12.55,106.488,24.715375988372,90.410020688372,0.21460594620103823
2098,N3,LRP109a,Box Culvert,DIGAN KANDA,A,1.5,107.183,24.721188804878,90.4089038138211,0.21460594620103823
2099,N3,LRP109b,Box Culvert,DIGIR KANDA BOX CULVERT,A,1.5,107.465,24.723688459756,90.4092381443089,0.21460594620103823
2100,N3,LRP109c,Box Culvert,DIGINKANDA BOX CULVERT,C,9.2,107.711,24.725922301626,90.4090767894309,0.21460594620103823
2101,N3,LRP110a,Slab Culvert,MYMENSING,B,1.5,108.828,24.7357286960999,90.4080718597999,0.21460594620103823
2102,N302,LRP005b,RCC Girder Bridge,Ashulia RCC Girder Bridge,C,63.0,5.71,23.8924835155339,90.3601790427184,0.32712499536229733
2104,N302,LRP006a,RCC Girder Bridge,Ashulia Bridge-1,C,53.5,6.898,23.8944479344827,90.3487429172413,0.32712499536229733
2106,N302,LRP008a,PC Girder Bridge,ASAHULIA PC GIDER BRIDGE,B,191.5,8.366,23.8969392753554,90.3347047545023,0.32712499536229733
2108,N302,LRP010a,Box Culvert,ZIRABO BOX CULVERT,C,13.5,10.144,23.9064493428571,90.32197364,0.32712499536229733
2109,N309,LRPSc,Box Culvert,BDAR PUR BOX CULVERT,A,3.0,0.242,24.7386000538461,90.4233625692307,0.2798057339808867
2110,N309,LRPSd,Box Culvert,KEYAT KHALI BOX CULVERT,A,3.0,0.93,24.7340033018867,90.4188347301886,0.2798057339808867
2111,N309,LRP001a,Box Culvert,DEGER KANDA CULVERT,A,3.0,1.599,24.7293882,90.4147778,0.2798057339808867
2112,N309,LRP001b,Box Culvert,DEGER KANDA CULVERT,A,3.0,1.92,24.7268915113846,90.4133237193846,0.2798057339808867
2113,N309,LRP002a,Box Culvert,DIGAR KANDA CULVERT,A,3.0,2.15,24.7248987586206,90.4126618042145,0.2798057339808867
2114,N309,LRP002b,Box Culvert,DIGARKANDA BOX CULVERT,A,3.0,2.673,24.7203908069767,90.411381147093,0.2798057339808867
2115,N309,LRP002c,Box Culvert,DEGERKAMDA CULVERT,A,19.1,2.835,24.7190303837209,90.4109624901162,0.2798057339808867
2116,N309,LRP003b,Box Culvert,DIGARKANDI CULVERT,A,6.0,3.41,24.7172586329875,90.4075681914937,0.2798057339808867
2117,N309,LRP003c,Box Culvert,BORERA CULVERT,A,3.0,3.893,24.719393963745,90.4035379725099,0.2798057339808867
2118,N309,LRP004a,Box Culvert,BARERA CULVERT,A,3.0,4.546,24.7240350167785,90.3994557597315,0.2798057339808867
2119,N309,LRP004b,Box Culvert,MADHABARERA CULVERT,A,3.0,4.843,24.7261038730158,90.3976468920634,0.2798057339808867
2120,N309,LRP005a,Box Culvert,barero culvert,A,6.1,5.157,24.728186855,90.3955635825,0.2798057339808867
2121,N4,LRP003a,PC Girder Bridge,KODDA BRIDGE,A,70.0,3.151,23.9925943332443,90.3519777778371,0.40805824902859944
2123,N4,LRP003c,PC Girder Bridge,Kodda Bridge -1,A,121.85,3.701,23.995843924183,90.3480239973856,0.40805824902859944
2125,N4,LRP004a,PC Girder Bridge,Bypile Bridge,A,121.6,4.793,24.0030046,90.3408050902612,0.40805824902859944
2127,N4,LRP008a,Box Culvert,.,A,10.0,8.455,24.0139860966666,90.3087509266666,0.40805824902859944
2128,N4,LRP008b,Box Culvert,.,A,10.0,8.542,24.014388868,90.308036676,0.40805824902859944
2129,N4,LRP011a,Box Culvert,NICHALI PUR CULVERT,A,3.5,11.485,24.0237899,90.2821819305,0.40805824902859944
2130,N4,LRP012a,Box Culvert,SHOPIPUR CULVERT (1),A,9.4,12.809,24.0281966608,90.2703130784,0.40805824902859944
2131,N4,LRP013a,Box Culvert,SHOPIPUR BOX CULVERT,A,2.5,13.977,24.0339301038,90.260877144,0.40805824902859944
2132,N4,LRP014a,Box Culvert,CHANDORA CULVERT,A,1.5,14.722,24.0381628815706,90.2552188558115,0.40805824902859944
2133,N4,LRP015a,Box Culvert,CHANDORA CULVERT,A,4.5,15.107,24.0403577443979,90.2523072882722,0.40805824902859944
2134,N4,LRP015b,Box Culvert,.,A,1.7,15.273,24.0412982930997,90.2507973772823,0.40805824902859944
2135,N4,LRP016a,Box Culvert,CHANDORA CULVERT (3),A,5.0,16.233,24.0455641775862,90.2425097275862,0.40805824902859944
2136,N4,LRP016d,Box Culvert,.,A,5.5,16.864,24.0486869182758,90.2374540734482,0.38840734502731794
2137,N4,LRP019b,PC Girder Bridge,Railway Flyover,A,435.3,19.536,24.0643750086956,90.2163252225806,0.38840734502731794
2139,N4,LRP020a,Baily with Steel Deck,LOTIF PUR BRIDGE,A,80.0,20.285,24.0682129590909,90.2124065518181,0.38840734502731794
2141,N4,LRP020c,Box Culvert,.,A,1.5,20.44,24.0694827848484,90.2117976836363,0.38840734502731794
2142,N4,LRP022a,PC Girder Bridge,NORTH HIJOLTOLI BRIDGE (1),A,49.3,21.869,24.0804860957081,90.2050521004291,0.37808050878080507
2144,N4,LRP022c,Box Culvert,.,A,5.3,22.094,24.0819315250803,90.2035069311897,0.37808050878080507
2145,N4,LRP022d,Box Culvert,NORTH HIJOLTOLI CULVERT (2),A,4.5,22.464,24.0841814128593,90.2008905888048,0.37808050878080507
2146,N4,LRP023a,Box Culvert,TANSHIVTRA PUR CULVERT (1),A,10.4,23.126,24.087995528409,90.1959876782197,0.37808050878080507
2147,N4,LRP023b,PC Girder Bridge,TANSHUTRA PUR BRIDGE (2),A,20.0,23.664,24.0894542418181,90.1914102745454,0.37808050878080507
2149,N4,LRP025a,Box Culvert,RANARCHALA CULVERT,A,5.0,25.406,24.0909085209549,90.1748716984084,0.37808050878080507
2150,N4,LRP027a,Box Culvert,SHOHAG PUR,A,5.5,27.511,24.0971066162911,90.157173294974,0.37808050878080507
2151,N4,LRP028a,PC Girder Bridge,SHOHAGPUR BAZAR BRIDGE-2,A,73.2,28.349,24.0959534003257,90.149061998697,0.37808050878080507
2153,N4,LRP028c,Box Culvert,SHOHAGPURCUL-3,A,18.9,28.727,24.0963347643712,90.1455036470059,0.37808050878080507
2154,N4,LRP028e,Box Culvert,SHOHAGPUR CULVERT-4,A,4.5,29.109,24.0964024459272,90.1418459481802,0.37808050878080507
2155,N4,LRP029a,Box Culvert,DARUA CULVERT-1,A,19.2,29.685,24.0958606665236,90.1362403660944,0.37808050878080507
2156,N4,LRP029d,Box Culvert,DARUA CULVERT-2,A,19.2,30.131,24.0958763801801,90.1320091414414,0.37808050878080507
2157,N4,LRP030a,Box Culvert,DAOUHATA CULVERT,A,5.6,30.492,24.0961641013493,90.1285841241379,0.37808050878080507
2158,N4,LRP030b,PC Girder Bridge,DGWOYAHATA-2,A,48.4,31.183,24.0967421349019,90.1219507929411,0.37808050878080507
2160,N4,LRP031b,PC Girder Bridge,DAWAYAHAT-3,A,50.4,32.009,24.0982268294117,90.114505617647,0.37808050878080507
2162,N4,LRP034a,PC Girder Bridge,POSTOKAMRI BRIDGE,A,30.5,34.772,24.1064320160563,90.0895516264788,0.37808050878080507
2164,N4,LRP037a,Box Culvert,KONNI BOX CULVERT,B,18.85,37.302,24.1161953789899,90.0677845242424,0.37808050878080507
2165,N4,LRP038a,RCC Girder Bridge,Subollah Bridge,A,32.2,38.231,24.1242824751592,90.0571377837579,0.37808050878080507
2167,N4,LRP038c,Box Culvert,SHUBOLLA (2),A,9.5,38.76,24.1254524524416,90.055141117622,0.37808050878080507
2168,N4,LRP039a,Box Culvert,SHOBULLA (3),A,4.5,39.428,24.1268339225165,90.0511357390728,0.37808050878080507
2169,N4,LRP040a,Box Culvert,KADIM DALLA CULVERT,A,4.3,40.238,24.1295827,90.0439723985447,0.37808050878080507
2170,N4,LRP041a,PC Girder Bridge,AKLIMTOLA BRIDGE,A,42.6,41.71,24.1347019652173,90.0308217586956,0.37808050878080507
2172,N4,LRP042a,RCC Girder Bridge,PAKULLA BRIDGE,A,21.3,42.791,24.1386887538461,90.0213529423077,0.37808050878080507
2174,N4,LRP043a,Box Culvert,JAMOKI CULVERT,A,4.5,43.447,24.1442170274894,90.0203754816269,0.37808050878080507
2175,N4,LRP044a,PC Girder Bridge,Jamorki Bridge,A,48.8,44.27,24.151124291603,90.0187439984732,0.37808050878080507
2177,N4,LRP044c,Box Culvert,ISLAMPUR (1),A,9.45,44.653,24.1543496564864,90.0185980916216,0.37808050878080507
2178,N4,LRP045a,Slab Culvert,DUBAIL CULVERT,A,4.5,45.436,24.1615161646288,90.017958231441,0.37808050878080507
2179,N4,LRP045b,Box Culvert,DUBLAI(2),A,10.2,45.998,24.1665072821554,90.0174088141342,0.37808050878080507
2180,N4,LRP046a,RCC Girder Bridge,AMLAPARA,A,15.45,47.194,24.1760674783251,90.0142526970443,0.37808050878080507
2182,N4,LRP047a,Box Culvert,AMLAPARA (2),A,4.5,47.778,24.1790797087121,90.009683935606,0.37808050878080507
2183,N4,LRP048a,Box Culvert,ISLAMPUR,A,9.4,48.665,24.1835445129464,90.0027219504464,0.37808050878080507
2184,N4,LRP049a,Box Culvert,GULLA,A,9.1,50.155,24.1919834929695,89.99205120766,0.37808050878080507
2185,N4,LRP051a,Box Culvert,GULLA (2),A,9.4,51.26,24.200458923843,89.9884434567404,0.37808050878080507
2186,N4,LRP052b,PC Girder Bridge,KOBOTABAI,A,20.6,52.655,24.2105152415929,89.9786423725663,0.37808050878080507
2187,N4,LRP052c,Box Culvert,KHUDRAMPUR CUVLERT,A,5.06,52.689,24.2107262747787,89.9784146176991,0.37808050878080507
2188,N4,LRP053a,Box Culvert,.,A,2.5,53.447,24.2153881173469,89.9731422877551,0.37808050878080507
2189,N4,LRP053b,PC Girder Bridge,Madarkani Bridge,A,45.5,53.594,24.2163045423469,89.9721110377551,0.37808050878080507
2191,N4,LRP054a,PC Girder Bridge,Charpara Bridge,A,64.6,54.608,24.2232126833333,89.965667705147,0.37808050878080507
2193,N4,LRP054c,Box Culvert,KHUDRAMPUR CUVLERT,A,5.06,55.148,24.2270260229645,89.9611320382046,0.37808050878080507
2194,N4,LRP056a,PC Girder Bridge,AMPUR PC GIDER BRIDGE,A,20.6,56.407,24.2360033466666,89.95418518,0.37808050878080507
2196,N4,LRP058a,Box Culvert,NOGARJOLY BOX CULVERT,A,10.7,58.228,24.2438997193396,89.9400281028301,0.3648509763617677
2197,N4,LRP059a,Box Culvert,DORUN CULVERT,A,8.3,59.387,24.2542266693333,89.9382840973333,0.3648509763617677
2198,N4,LRP060a,Box Culvert,GARINTA,A,4.5,60.292,24.2622980724358,89.9376772307692,0.3648509763617677
2199,N4,LRP060b,Box Culvert,BILGARENI,A,5.0,61.142,24.2698664084014,89.9369693180863,0.3648509763617677
2200,N4,LRP061a,PC Girder Bridge,Kandila Bridge,A,20.6,61.867,24.2747994295774,89.9328754084507,0.3648509763617677
2202,N4,LRP062a,Box Culvert,KANDILA CULVERT,A,2.0,62.958,24.28054494,89.9240478972151,0.3648509763617677
2203,N4,LRP062b,PC Girder Bridge,SHIBPUR BRIDGE,B,20.6,62.976,24.28058418,89.9239238475949,0.3648509763617677
2204,N4,LRP064a,PC Girder Bridge,BIKKRAMHATI BRIDGE,A,106.0,64.494,24.2901576727272,89.9181185841897,0.3648509763617677
2206,N4,LRP064c,PC Girder Bridge,Panch Brikramhati Bridge,B,51.0,65.173,24.29617540813,89.9186542577235,0.3648509763617677
2207,N4,LRP066a,PC Girder Bridge,Rosulpur Bridge,B,41.85,65.998,24.3034512286144,89.9196709222891,0.3648509763617677
2209,N4,LRP067a,RCC Girder Bridge,POULIE BRIDGE,C,127.5,67.206,24.3138409946215,89.9230444322709,0.3648509763617677
2210,N4,LRP068a,Box Culvert,.,A,10.1,68.014,24.3206804616878,89.9244056893203,0.3648509763617677
2211,N4,LRP068b,PC Girder Bridge,Jaldur Bridge,A,52.75,68.619,24.3260393881254,89.9247821990291,0.3648509763617677
2212,N4,LRP068b,PC Girder Bridge,PALU BRIDGE,A,54.4,68.691,24.3266771446601,89.9248270067961,0.3648509763617677
2213,N4,LRP069b,RCC Bridge,RAZA BAZAR RCC BRIDGE,A,19.0,70.311,24.3406982919689,89.9251666318652,0.28862303002415735
2214,N4,LRP070d,Box Culvert,ISAPARA BOX CULVERT,A,3.0,71.544,24.3496503746588,89.9317824183235,0.28862303002415735
2215,N4,LRP071a,Box Culvert,ISAPUR BOX CULVERT,A,3.0,71.812,24.3512553902777,89.9337157208333,0.28862303002415735
