road,lat,lon,model_type,road_to,condition,length,id,name
N1,23.4131111,91.1846663,bridge,,C,488,1000134,bridge 64
N1,23.4125,91.1893886,link,,,2560,1000135,link 68
N1,23.4100278,91.2090833,bridge,,C,980,1000136,bridge 65
N1,23.4048056,91.2165278,link,,,1152,1000137,link 69
N1,23.40375,91.2176382,bridge,,B,828,1000138,bridge 66
N1,23.39821345,91.22288777,link,,,1838,1000139,link 70
N1,23.3914441,91.2293049,bridge,,A,891,1000140,bridge 67
N1,23.38826355,91.23193005,link,,,891,1000141,link 71
N1,23.385083,91.2345552,bridge,,A,15,1000142,bridge 68
N1,23.38502745,91.234583,link,,,15,1000143,link 72
N1,23.3849719,91.2346108,bridge,,A,82,1000144,bridge 69
N1,23.3843886,91.2351108,link,,,980,1000145,link 73
N1,23.3779716,91.2403608,bridge,,A,102,1000146,bridge 70
N1,23.377166,91.2409163,link,,,1272,1000147,link 74
N1,23.3683327,91.2471108,bridge,,C,904,1000148,bridge 71
N1,23.3615278,91.2515556,link,,,1270,1000149,link 75
N1,23.3586389,91.25325,bridge,,A,634,1000150,bridge 72
N1,23.3536944,91.2561389,link,,,1320,1000151,link 76
N1,23.3486386,91.2599444,bridge,,A,313,1000152,bridge 73
N1,23.3463608,91.2616944,link,,,1756,1000153,link 77
N1,23.3360274,91.2700549,bridge,,A,187,1000154,bridge 74
N1,23.3347219,91.271166,link,,,1629,1000155,link 78
N1,23.324166,91.2791104,bridge,,B,927,1000156,bridge 75
N1,23.3171382,91.2836941,link,,,1197,1000157,link 79
N1,23.3149444,91.2844719,bridge,,A,617,1000158,bridge 76
N1,23.31229165,91.28530525,link,,,617,1000159,link 80
N1,23.3096389,91.2861386,bridge,,C,112,1000160,bridge 77
N1,23.3086944,91.2864163,link,,,659,1000161,link 81
N1,23.30425,91.288583,bridge,,A,453,1000162,bridge 78
N1,23.3006111,91.290333,link,,,971,1000163,link 82
N1,23.296083,91.2914997,bridge,,B,481,1000164,bridge 79
N1,23.2919163,91.2922219,link,,,983,1000165,link 83
N1,23.2876663,91.2936386,bridge,,B,498,1000166,bridge 80
N1,23.283583,91.2952219,link,,,1272,1000167,link 84
N1,23.2787216,91.3002778,bridge,,B,225,1000168,bridge 81
N1,23.2768882,91.3011944,link,,,1341,1000169,link 85
N1,23.2677493,91.3054722,bridge,,B,277,1000170,bridge 82
N1,23.26659685,91.3059583,link,,,277,1000171,link 86
N1,23.2654444,91.3064444,bridge,,B,202,1000172,bridge 83
N1,23.26455555,91.3065972,link,,,202,1000173,link 87
N1,23.2636667,91.30675,bridge,,B,404,1000174,bridge 84
N1,23.2601111,91.3072778,link,,,560,1000175,link 88
N1,23.2587222,91.3074444,bridge,,B,844,1000176,bridge 85
N1,23.2511944,91.3086389,link,,,1018,1000177,link 89
N1,23.249833,91.3091944,bridge,,A,186,1000178,bridge 86
N1,23.249083,91.3095,link,,,186,1000179,link 90
N1,23.248333,91.3098056,bridge,,B,369,1000180,bridge 87
N1,23.2468052,91.3104306,link,,,369,1000181,link 91
N1,23.2452774,91.3110556,bridge,,B,270,1000182,bridge 88
N1,23.243083,91.3119167,link,,,433,1000183,link 92
N1,23.2416941,91.3123611,bridge,,B,816,1000184,bridge 89
N1,23.2380969,91.3127639,link,,,816,1000185,link 93
