road,lat,lon,model_type,length,condition,id,name
N1,23.4821382,91.0516944,link,2944,,1000133,link 58
N1,23.4770827,91.0789993,bridge,55,C,1000134,bridge 76
N1,23.4770271,91.0794716,link,2513,,1000135,link 59
N1,23.4778604,91.1036111,bridge,486,A,1000136,bridge 77
N1,23.4779993,91.1055278,link,972,,1000137,link 60
N1,23.4789438,91.1177216,bridge,27,A,1000138,bridge 78
N1,23.4789716,91.1179993,link,564,,1000139,link 61
N1,23.4793327,91.1234716,bridge,435,C,1000140,bridge 79
N1,23.4800827,91.1276382,link,4303,,1000141,link 62
N1,23.448833,91.1471386,bridge,233,A,1000142,bridge 80
N1,23.4469441,91.1481386,link,3155,,1000143,link 63
N1,23.4235827,91.1629722,bridge,545,C,1000144,bridge 81
N1,23.4213604,91.167666,link,1566,,1000145,link 64
N1,23.4131111,91.1846663,bridge,488,A,1000146,bridge 82
N1,23.4125,91.1893886,link,2072,,1000147,link 65
N1,23.4100278,91.2090833,bridge,980,A,1000148,bridge 83
N1,23.4100278,91.2090833,bridge,980,C,1000149,bridge 84
N1,23.4048056,91.2165278,link,171,,1000150,link 66
N1,23.40375,91.2176382,bridge,828,C,1000151,bridge 85
N1,23.398213447804338,91.22288776581436,link,1010,,1000152,link 67
N1,23.3914441,91.2293049,bridge,891,A,1000153,bridge 86
N1,23.3914441,91.2293049,bridge,891,A,1000154,bridge 87
N1,23.38826355,91.23193005,link,10,,1000155,link 68
N1,23.385083,91.2345552,bridge,15,B,1000156,bridge 88
N1,23.385027450000003,91.234583,link,10,,1000157,link 69
N1,23.3849719,91.2346108,bridge,82,A,1000158,bridge 89
N1,23.3843886,91.2351108,link,897,,1000159,link 70
N1,23.3779716,91.2403608,bridge,102,A,1000160,bridge 90
N1,23.377166,91.2409163,link,1170,,1000161,link 71
N1,23.3683327,91.2471108,bridge,904,C,1000162,bridge 91
N1,23.3683327,91.2471108,bridge,904,C,1000163,bridge 92
N1,23.3615278,91.2515556,link,365,,1000164,link 72
N1,23.3586389,91.25325,bridge,634,A,1000165,bridge 93
N1,23.3536944,91.2561389,link,686,,1000166,link 73
N1,23.3486386,91.2599444,bridge,313,C,1000167,bridge 94
N1,23.3463608,91.2616944,link,1443,,1000168,link 74
N1,23.3360274,91.2700549,bridge,187,A,1000169,bridge 95
