roadNo	roadId	startChainage	endChainage	width	nrLanes
N5	1529	341.467	347.534	7.3	2
N5	1529	347.534	348.034	7.2	2
N5	1529	348.034	353.034	7.3	2
N5	1529	353.034	354.034	7.3	2
N5	1529	354.034	358.597	7.3	2
N5	1529	358.597	359.597	7.3	2
N5	1529	359.597	359.844	7.3	2
N5	1529	359.844	362.944	7.3	2
N5	1529	362.944	363.547	7.3	2
N5	1529	363.547	364.617	13.9	4
N5	1529	364.617	370.402	7	2
N5	1529	370.402	376.152	7.1	2
N5	1529	376.152	380.4	6	2
N5	1529	380.4	380.55	6	2
N5	1529	380.55	383.44	6	2
N5	1529	383.44	384.292	6.1	2
N5	1529	384.292	387.69	6.1	2
N5	1529	387.69	387.99	6.1	2
N5	1529	387.99	392.61	6.1	2
N5	1529	392.61	394.31	6.1	2
N5	1529	394.31	396.11	6	2
N5	1529	396.11	396.302	8.5	2
N5	1529	396.302	396.46	8	2
N5	1529	396.46	401.59	5.9	2
N5	1529	401.59	402.6	5.9	2
N5	1529	402.6	405.62	5.9	2
N5	1529	405.62	405.72	6	2
N5	1529	405.72	408.55	6	2
N5	1529	408.55	409.1	6	2
N5	1529	409.1	416.03	5.85	2
N5	1529	416.03	416.755	5.8	2
N5	1529	416.755	421.195	6	2
N5	1529	421.195	421.295	5.89	2
N5	1529	421.295	431.435	6	2
N5	1529	431.435	433.615	5.9	2
N5	1529	433.615	439.955	6	2
N5	1529	439.955	449.88	5.9	2
N5	1529	449.88	450.11	6	2
N5	1529	450.11	458.79	5.8	2
N5	1529	458.79	459.09	6	2
N5	1529	459.09	471.24	5.9	2
N5	1529	471.24	471.74	6	2
N5	1529	471.74	474.47	6	2
N5	1529	474.47	476.94	7.2	2
N5	1529	476.94	477.16	7.3	2
N5	1529	477.16	483.29	7.3	2
N5	1529	483.29	483.66	7.3	2
N5	1529	483.66	498.213	7.3	2
N5	1529	498.213	507.463	7.3	2
N5	1529	507.463	511.623	10.3	3
N5	1529	511.623	518.633	7.3	2
N5	1529	518.633	524.961	7.3	2
N5	1529	524.961	526.033	7.1	2
